Date,Time,SKU,AuctionCode,Title,PDP Price,Missed Price,Parity,Overcharged,OnAir Img,Missed Img,ProductUrl,Is404,Buy,Login,In Missed,Delay(min),Source
2026-09-04,15:03:21,8516161,0019856737,Livmore Microfibre Cloth Roll - 30 Pulls (25 x 25cm) - Light Blue,4.99,7.99,MISMATCH,Y,Y,Y,/products/livmore-microfibre-cleaning-towel-roll-30-pulls-25-x-25cm,N,Y,N,Y,,gha
2026-09-04,14:32:23,7805172,0019856763,Set of 2 Religious 12-Hour Analog Wall Clocks – Vintage Brown Frames with Sacred Art Backgrounds,4.43,4.43,MATCH,,Y,Y,/products/set-of-2-clock,N,Y,N,Y,9,gha
2026-09-04,14:37:23,8712394,0019856884,Itty Bittys Noah's Ark Zebra Soft Toy Plush (5 Inch) - Black,4.99,5.99,MISMATCH,Y,Y,Y,/products/tjc-special-toy-size-one-size-red-8712387?variant=53453042581770,N,Y,N,Y,,gha
2026-09-04,14:29:20,8480631,0019856774,"Set of 3 Scented Candles in Tins - Jasmine & Ylang Ylang, Hidden Springs, Teakwood & Oak",4.99,3.99,MISMATCH,,N,N,/products/set-of-3-scented-candles-in-tins-jasmine-ylang-ylang-hidden-springs-teakwood-oak-8480631?variant=53109398864138,N,Y,N,Y,10,gha
2026-09-04,14:22:23,8457952,0019856871,Livmore Set of 10 Rose Fragrance Sachets (Size 8 x 9Cm),4.99,6.99,MISMATCH,Y,Y,Y,/products/livmore-fragrance-gift-set-100-pc-8457953,N,Y,N,Y,,gha
2026-09-04,14:07:20,8528813,0019857922,Spooky Black Spider Plush Soft Toy - Halloween Decoration & Gift,4.99,4.99,MATCH,,Y,Y,/products/spooky-black-spider-plush-soft-toy-halloween-decoration-gift-8528813,N,Y,N,Y,10,gha
2026-09-04,14:17:21,8528834,0019857923,Pumpkin Plush Soft Toy - Halloween Decoration & Gift - Orange.,,4.99,,,N,Y,/products/spooky-black-spider-plush-soft-toy-halloween-decoration-gift-8528813,N,N,N,Y,,gha
2026-09-04,14:16:23,8528688,0019856868,Microfibre 25pc Easyclean Microfibre Cloth - Orange,4.99,5.99,MISMATCH,Y,Y,Y,/products/microfibre-25pc-easyclean-microfibre-cloth-orange?variant=53277768777994,N,Y,N,Y,10,gha
2026-09-04,14:03:19,8528435,0019856535,LIVMORE Set of 2 Travel Jewellery Box Organisers with Snap Button Closure (15.5x10.5x5cm) - Black & White,9.99,9.99,MATCH,,Y,Y,/products/livmore-patterned-jewellery-organiser-size-6x4x2-in-black-white-8528435,N,Y,N,Y,10,gha
2026-09-04,14:13:19,8528436,0019856536,LIVMORE Set of 2 Travel Jewellery Box Organisers with Snap Button Closure (15.5x10.5x5cm) - Light Pink & Blue,,9.99,,,N,Y,/products/livmore-patterned-jewellery-organiser-size-6x4x2-in-black-white-8528435,N,N,N,Y,,gha
2026-09-04,14:13:19,8528437,0019856537,LIVMORE Set of 2 Travel Jewellery Box Organisers with Snap Button Closure (15.5x10.5x5cm) - Light Grey & Navy Blue,,9.99,,,N,Y,/products/livmore-patterned-jewellery-organiser-size-6x4x2-in-black-white-8528435,N,N,N,Y,,gha
2026-09-04,13:49:18,4476881,0019856587,WOW Deal - Set of 5 - Multi Colour Fresh Water Pearl Stud Earrings with Push Backs,9.99,9.99,MATCH,,Y,N,,N,Y,N,Y,6,gha
2026-09-04,13:44:29,8673794,0019857877,Italian Made- Singapore Necklace (Size - 18) with Spring Ring Clasp in Sterling Silver,9.99,9.99,MATCH,,N,N,/products/singapore-necklace-size-18-with-spring-ring-clasp-in-yellow-gold-plated-sterling-silver-8673794,N,Y,N,Y,10,gha
2026-09-04,13:36:25,8498138,0019856477,Moissanite Solitaire Pendant in Platinum Overlay Sterling Silver,4.99,9.99,MISMATCH,Y,Y,Y,/products/moissanite-solitaire-pendant-in-yellow-gold-plated-sterling-silver-0-46-ct?variant=53106031296778,N,Y,N,Y,,gha
2026-09-04,13:22:24,8516482,0019847957,MEGA ONE TO OWN DEAL Moissanite 1.00ct Solitaire Stud Push Post Earring in Yellow Gold Plated Sterling Silver,9.99,9.99,MATCH,,Y,Y,/products/moissanite-solitaire-stud-push-post-earring-in-platinum-overlay-sterling-silver-8516481,N,Y,N,Y,10,gha
2026-09-04,13:32:24,8516481,0019857138,Moissanite Solitaire Stud Push Post Earring in Platinum Overlay Sterling Silver,,9.99,,,N,Y,/products/moissanite-solitaire-stud-push-post-earring-in-platinum-overlay-sterling-silver-8516481,N,N,N,Y,,gha
2026-09-04,13:03:23,4446145,0019856651,Geometric Cracked Pendant with Chain (Size 24) & Lobster Clasp in Black Plating,4.99,4.99,MATCH,,Y,Y,/products/geometric-cracked-pendant-with-chain-size-24-lobster-clasp-in-black-plating-4446145,N,Y,N,Y,9,gha
2026-09-04,13:12:21,4446146,0019856652,White Crystal Star Enamel Pendant with Chain (Size 24) & Lobster Clasp in Yellow and Black Tone,,4.99,,,N,Y,/products/geometric-cracked-pendant-with-chain-size-24-lobster-clasp-in-black-plating-4446145,N,N,N,Y,,gha
2026-09-04,13:12:21,4446147,0019856653,White Crystal Star Enamel Pendant with Chain (Size 24) in White and Yellow Gold Tone,,4.99,,,N,Y,/products/geometric-cracked-pendant-with-chain-size-24-lobster-clasp-in-black-plating-4446145,N,N,N,Y,,gha
2026-09-04,12:56:23,4452481,0019856613,2 Piece Set - Natural Shungite Beads Lever Back Drop Earrings and Pendant with Chain (Size 20) 45...,7.99,7.99,MATCH,,Y,Y,/products/2-piece-set-natural-shungite-lever-back-earrings-and-pendant-with-chain-size-20-45-00-ct?variant=53104814326026,N,Y,N,Y,9,gha
2026-09-04,12:54:24,7991826,0019856614,Shungite Beads Bracelet,9.99,9.99,MATCH,,Y,Y,/products/shungite-beads-bracelet-4057991802?variant=53108997423370,N,Y,N,Y,9,gha
2026-09-04,13:03:23,7991802,0019856616,Natural Shungite Beads Bracelet (Size - 8)  90.00 Ct.,,9.99,,,N,Y,/products/shungite-beads-bracelet-4057991802,N,N,N,Y,,gha
2026-09-04,12:48:22,7083394,0019856486,Blue Crystal Byzantine Link Bracelet (Size - 7.5),9.99,9.99,MATCH,,Y,Y,/products/red-crystal-bracelet-size-7-5-pure-white-stainless-steel-0-600-ct-2967083360,N,Y,N,Y,9,gha
2026-09-04,12:57:20,7083407,0019856497,Blue Crystal Byzantine Link Bracelet (Size - 7.5),,9.99,,,N,Y,/products/red-crystal-bracelet-size-7-5-pure-white-stainless-steel-0-600-ct-2967083360,N,N,N,Y,,gha
2026-09-04,12:44:22,8646024,0019857229,Close Out Deal - Diamond Cut Band Ring in Sterling Silver,9.99,9.99,MATCH,,N,Y,/products/close-out-deal-sterling-silver-band-ring-8645870?variant=53456181395722,N,Y,N,Y,10,gha-variant
2026-09-04,12:44:22,8645871,0019857227,Close Out Deal - Diamond Cut Band Ring in Sterling Silver,9.99,12.99,MISMATCH,Y,N,Y,/products/close-out-deal-sterling-silver-band-ring-8645870?variant=53456181395722,N,Y,N,Y,,gha-variant
2026-09-04,12:44:22,8646027,0019857232,Close Out Deal - Diamond Cut Band Ring in Sterling Silver,9.99,12.99,MISMATCH,Y,N,Y,/products/close-out-deal-sterling-silver-band-ring-8645870?variant=53456181395722,N,Y,N,Y,,gha-variant
2026-09-04,12:44:22,8646025,0019857230,Close Out Deal - Diamond Cut Band Ring in Sterling Silver,9.99,12.99,MISMATCH,Y,N,Y,/products/close-out-deal-sterling-silver-band-ring-8645870?variant=53456181395722,N,Y,N,Y,,gha-variant
2026-09-04,12:44:22,8645872,0019857226,Close Out Deal - Diamond Cut Band Ring in Sterling Silver,9.99,12.99,MISMATCH,Y,Y,N,/products/close-out-deal-sterling-silver-band-ring-8645870?variant=53456181395722,N,Y,N,Y,1,gha-variant
2026-09-04,12:44:22,8646029,0019857233,Close Out Deal - Diamond Cut Band Ring in Sterling Silver,9.99,12.99,MISMATCH,Y,N,Y,/products/close-out-deal-sterling-silver-band-ring-8645870?variant=53456181395722,N,Y,N,Y,,gha-variant
